Category,Groups,Summary,Keywords,OLCs,geometry
🪧Wayfinding & Signage,Way5,Interactive educational sign language,"educational, interactive, sign",85QFMCCM+3G,"POLYGON ((-110.566331 45.670167, -110.566487 45.670103, -110.566374 45.670122, -110.566127 45.670148, -110.565956 45.670174, -110.566159 45.670193, -110.566331 45.670167))"
🚻Restrooms,Res0,Putting next existing city structure to work,"city, existing, restroom, structure",85QFMC9M+M9,"POLYGON ((-110.566573 45.669252, -110.566697 45.669248, -110.566632 45.66914, -110.566487 45.669166, -110.566573 45.669252))"
🚻Restrooms,Res0,Putting next existing city structure to work,"city, existing, restroom, structure",85QFMCCM+2X,"POLYGON ((-110.565575 45.670243, -110.565656 45.670121, -110.565044 45.669815, -110.564453 45.670189, -110.565575 45.670243))"
🚻Restrooms,Res0,Putting next existing city structure to work,"city, existing, restroom, structure",85QFMC9M+W8,"LINESTRING (-110.566798 45.66986, -110.566739 45.66971, -110.566626 45.669867, -110.566718 45.669916, -110.566696 45.669878, -110.566724 45.669777)"
🚻Restrooms,Res0,Putting next existing city structure to work,"city, existing, restroom, structure",85QFMC9M+W7,"POLYGON ((-110.566852 45.669957, -110.566932 45.669905, -110.566964 45.669822, -110.566921 45.669762, -110.566857 45.669743, -110.566809 45.669811, -110.566733 45.669905, -110.566852 45.669957))"
🚻Restrooms,Res1,Toilet Vauly Toilet Toilet Toilet,"toilet, vauly",85QFMC9M+QG,"POLYGON ((-110.566342 45.669413, -110.566267 45.669335, -110.566165 45.669406, -110.566197 45.66947, -110.566342 45.669413))"
🚻Restrooms,Res1,Toilet Vauly Toilet Toilet Toilet,"toilet, vauly",85QFMC9M+MC,"POLYGON ((-110.566422 45.66932, -110.566562 45.669271, -110.56646 45.669125, -110.56631 45.669215, -110.566422 45.66932))"
🚻Restrooms,Res1,Toilet Vauly Toilet Toilet Toilet,"toilet, vauly",85QFMC9M+PF,"POLYGON ((-110.566294 45.669462, -110.566508 45.669361, -110.56639 45.669226, -110.566138 45.66935, -110.566294 45.669462))"
🚻Restrooms,Res2,The restrooms shelter covered picknick space parking lot,"parking, picknick, restroomsheltercovered, space",85QFMC9M+R9,"POLYGON ((-110.566455 45.669728, -110.566514 45.669751, -110.566632 45.669684, -110.566787 45.669642, -110.566664 45.669343, -110.566288 45.669579, -110.56639 45.669729, -110.566455 45.669728))"
🚻Restrooms,Res2,The restrooms shelter covered picknick space parking lot,"parking, picknick, restroomsheltercovered, space",85QFMC9M+PG,"POLYGON ((-110.566095 45.66938, -110.566288 45.669286, -110.566213 45.669207, -110.56602 45.669323, -110.566095 45.66938))"
🚻Restrooms,Res3,pitty potty stop potty,"pitty, potty, stop",85QFMCCM+2Q,"POLYGON ((-110.565789 45.670232, -110.56587 45.67011, -110.565579 45.66985, -110.565215 45.670054, -110.565789 45.670232))"
Fences & Barriers,Fen0,Dog Park Dog Park,"dog, park",85QFMC9M+XP,"POLYGON ((-110.565521 45.670204, -110.566181 45.670201, -110.566497 45.670163, -110.566728 45.670054, -110.566219 45.669646, -110.566074 45.669496, -110.565902 45.669376, -110.564432 45.670186, -110.565521 45.670204))"
Fences & Barriers,Fen0,Dog Park Dog Park,"dog, park",85QFMCCM+2W,"POLYGON ((-110.565848 45.670204, -110.565656 45.670121, -110.565301 45.669766, -110.564475 45.670178, -110.565848 45.670204))"
Fences & Barriers,Fen1,Short heigh fence around kid play area fencing nonchain link,"area, around, fence, fencing",85QFMC9J+8Q,"LINESTRING (-110.567769 45.668349, -110.567866 45.668285, -110.567957 45.668229, -110.568101 45.668173, -110.568252 45.668353, -110.567903 45.668473, -110.567742 45.668356)"
Fences & Barriers,Fen1,Short heigh fence around kid play area fencing nonchain link,"area, around, fence, fencing",85QFMC9M+RG,"LINESTRING (-110.567597 45.669533, -110.567785 45.669024, -110.567587 45.66845, -110.56434 45.670197, -110.565494 45.670223, -110.566508 45.670189, -110.56749 45.669635)"
Fences & Barriers,Fen1,Short heigh fence around kid play area fencing nonchain link,"area, around, fence, fencing",85QFMC9M+H3,"POLYGON ((-110.567458 45.668832, -110.567458 45.669072, -110.567114 45.669072, -110.567114 45.668832, -110.567458 45.668832))"
Fences & Barriers,Fen2,Playground shade tree child playground,"could, park, shade, tree",85QFMC9M+H2,"POLYGON ((-110.567544 45.669523, -110.567898 45.669237, -110.567769 45.668322, -110.566696 45.66896, -110.567544 45.669523))"
Fences & Barriers,Fen2,Playground shade tree child playground,"could, park, shade, tree",85QFMC9M+M9,"POLYGON ((-110.566621 45.669342, -110.566546 45.669365, -110.566412 45.66908, -110.56668 45.668941, -110.566733 45.66899, -110.566546 45.669125, -110.566621 45.669342))"
Fences & Barriers,Fen3,Dog park fenced dog park,"dog, fenced, park",85QFMC9M+XJ,"POLYGON ((-110.566116 45.670213, -110.566438 45.670163, -110.566766 45.670032, -110.566524 45.669807, -110.566358 45.669683, -110.566117 45.66968, -110.565934 45.66974, -110.565832 45.669755, -110.565645 45.669867, -110.565586 45.669901, -110.565494 45.669931, -110.565237 45.669983, -110.564851 45.670156, -110.564389 45.670189, -110.566116 45.670213))"
Fences & Barriers,Fen3,Dog park fenced dog park,"dog, fenced, park",85QFMC9M+WM,"POLYGON ((-110.565575 45.670243, -110.566417 45.670167, -110.567044 45.669882, -110.566025 45.669286, -110.565092 45.669792, -110.564368 45.670197, -110.565194 45.670193, -110.565575 45.670243))"
Fences & Barriers,Fen3,Dog park fenced dog park,"dog, fenced, park",85QFMC9M+WJ,"POLYGON ((-110.565548 45.670137, -110.566374 45.670152, -110.566792 45.669995, -110.566095 45.669395, -110.565156 45.66989, -110.565548 45.670137))"
Fences & Barriers,Fen4,Dog park entrance,"dog, entrance, park",85QFMC9M+RH,"POLYGON ((-110.566031 45.669627, -110.566159 45.669616, -110.566186 45.669548, -110.566095 45.669485, -110.565956 45.669563, -110.566031 45.669627))"
Fences & Barriers,Fen4,Dog park entrance,"dog, entrance, park",85QFMC9M+XW,"POLYGON ((-110.565135 45.669972, -110.565317 45.669878, -110.565231 45.669818, -110.565049 45.669927, -110.565135 45.669972))"
🚗Parking,Par0,Traffic speeding south side blue heron dr,"blue, dollar, dr, heron",85QFMC9M+WM,"POLYGON ((-110.565575 45.670243, -110.566519 45.669601, -110.565805 45.66947, -110.565364 45.669861, -110.565259 45.670164, -110.565575 45.670243))"
🚗Parking,Par0,Traffic speeding south side blue heron dr,"blue, dollar, dr, heron",85QFMCCM+3M,"LINESTRING (-110.566943 45.670047, -110.566406 45.670249, -110.565915 45.670294, -110.564572 45.670242)"
🚗Parking,Par0,Traffic speeding south side blue heron dr,"blue, dollar, dr, heron",85QFMCCM+2R,"POLYGON ((-110.565575 45.670243, -110.565656 45.670121, -110.565364 45.669861, -110.565259 45.670164, -110.565575 45.670243))"
🚗Parking,Par1,Parking parking along north side e re st,"along, north, parking, side",85QFMC9M+H2,"POLYGON ((-110.567591 45.668795, -110.567591 45.669034, -110.567247 45.669034, -110.567247 45.668795, -110.567591 45.668795))"
🚗Parking,Par1,Parking parking along north side e re st,"along, north, parking, side",85QFMC9M+PH,"POLYGON ((-110.566251 45.669275, -110.566127 45.669185, -110.565784 45.669387, -110.565902 45.669473, -110.566251 45.669275))"
🚗Parking,Par1,Parking parking along north side e re st,"along, north, parking, side",85QFMC9M+R8,"POLYGON ((-110.566889 45.669876, -110.56697 45.669754, -110.566594 45.669327, -110.566476 45.669466, -110.566664 45.669717, -110.566889 45.669876))"
🚗Parking,Par1,Parking parking along north side e re st,"along, north, parking, side",85QFMC9M+V3,"POLYGON ((-110.567121 45.669942, -110.567378 45.669758, -110.567668 45.669534, -110.567727 45.669335, -110.567062 45.669818, -110.566885 45.669938, -110.567121 45.669942))"
🚗Parking,Par1,Parking parking along north side e re st,"along, north, parking, side",85QFMC9M+RR,"LINESTRING (-110.566278 45.669147, -110.565076 45.669758, -110.564615 45.670039)"
🚗Parking,Par2,Good area parking area parking area,"area, good, parking",85QFMCCP+37,"POLYGON ((-110.564319 45.670167, -110.564319 45.670227, -110.564234 45.670227, -110.564234 45.670167, -110.564319 45.670167))"
🚗Parking,Par2,Good area parking area parking area,"area, good, parking",85QFMC9M+G2,"POLYGON ((-110.567179 45.668821, -110.567361 45.668896, -110.567522 45.668967, -110.567731 45.669001, -110.567731 45.668982, -110.567747 45.668799, -110.567662 45.668622, -110.567522 45.668488, -110.567259 45.668656, -110.567093 45.668742, -110.567179 45.668821))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMCCP+34,"POLYGON ((-110.564727 45.670303, -110.564808 45.670181, -110.56455 45.670137, -110.564411 45.670223, -110.564727 45.670303))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMC9J+GX,"POLYGON ((-110.567495 45.668971, -110.567501 45.66902, -110.567581 45.669039, -110.567694 45.66902, -110.567704 45.668904, -110.567667 45.668716, -110.567522 45.668525, -110.567254 45.668705, -110.56735 45.668874, -110.567495 45.668971))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMC9M+QF,"POLYGON ((-110.566299 45.669649, -110.566599 45.669345, -110.566481 45.669068, -110.565795 45.669439, -110.566299 45.669649))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMC9J+QX,"POLYGON ((-110.56734 45.669361, -110.567501 45.669672, -110.567656 45.669545, -110.567769 45.669308, -110.567501 45.669245, -110.56734 45.669361))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMC9J+JX,"POLYGON ((-110.567532 45.669323, -110.567484 45.669285, -110.567468 45.669271, -110.567596 45.669308, -110.567678 45.669147, -110.567753 45.668997, -110.567715 45.668904, -110.567565 45.668956, -110.567441 45.669189, -110.567516 45.669139, -110.567548 45.669207, -110.567334 45.669233, -110.567478 45.669334, -110.567532 45.669323))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMC9M+QC,"POLYGON ((-110.566476 45.669646, -110.566648 45.669552, -110.566449 45.669305, -110.566229 45.669406, -110.566476 45.669646))"
🚗Parking,Par4,Bike Parking Tree Shade Parking Offstreet Parking Parking,"bathroom, bike, lot, parking",85QFMC9M+PC,"POLYGON ((-110.566476 45.669518, -110.566691 45.669387, -110.566621 45.669264, -110.566487 45.66914, -110.566133 45.669301, -110.566476 45.669518))"
🚰Water Services,Wat0,Clean water fountain drinking water fountain,"clean, drinking, fountain, water",85QFMC9M+V7,"POLYGON ((-110.566814 45.669837, -110.566905 45.669758, -110.566792 45.669646, -110.56675 45.66968, -110.566696 45.669736, -110.566814 45.669837))"
🚰Water Services,Wat0,Clean water fountain drinking water fountain,"clean, drinking, fountain, water",85QFMC9M+P7,"POLYGON ((-110.566803 45.66947, -110.566953 45.669395, -110.567072 45.669312, -110.566873 45.669207, -110.566675 45.669354, -110.566803 45.66947))"
